Id,Code,Orthobullets QID,Complexity,Percent who answered correctly,Link
Trauma 26,SAE12TR.92,8233,L2,80,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12TR.92
Trauma 27,SAE12TR.75,8214,L2,83,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12TR.75
Trauma 28,SAE09TR.60,6948,NA,64,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE09TR.60
Trauma 29,SAE08OS.67,6429,L3,65,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE08OS.67
Trauma 30,SAE08OS.13,6375,L5,48,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE08OS.13
Recon 1,SAE07HK.89,6049,L1,80,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07HK.89
Recon 2,SAE13SM.55,8614,L4,48,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13SM.55
Recon 3,SAE07HK.97,6057,L3,69,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07HK.97
Recon 4,SAE10BS.80,7168,NA,57,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10BS.80
Recon 5,SAE10BS.79,8318,L4,52,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10BS.79
Recon 6,SAE07HK.91,6051,L3,65,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07HK.91
Recon 7,SAE13BS.82,8322,L5,31,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13BS.82
Recon 8,SAE13BS.25,8259,L4,44,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13BS.25
Recon 9,SAE13BS.70,8309,L4,49,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13BS.70
Recon 10,SAE10HK.57,7045,NA,22,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10HK.57
Recon 11,SAE07HK.60,6020,L4,57,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07HK.60
Recon 12,SAE10HK.61,7049,L2,80,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10HK.61
Recon 13,SAE10HK.70,7058,L2,89,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10HK.70
Recon 14,SAE13HK.74,8413,L2,81,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13HK.74
Recon 15,SAE10HK.41,7029,L5,35,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10HK.41
Recon 16,SAE13HK.70,8409,L1,94,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13HK.70
Recon 17,SAE13HK.43,8379,L1,91,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13HK.43
Recon 18,SAE13HK.92,8433,L1,92,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13HK.92
Recon 19,SAE07HK.49,6009,L3,50,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07HK.49
Recon 20,SAE08OS.41,6403,L1,84,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE08OS.41
Recon 21,SAE10HK.68,7056,L1,89,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10HK.68
Recon 22,SAE07HK.58,6018,L4,40,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07HK.58
Recon 23,SAE07HK.13,5973,L2,71,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07HK.13
Recon 24,SAE07HK.1,5961,L3,54,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07HK.1
Recon 25,SAE07HK.63,6023,L4,36,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07HK.63
Recon 26,SAE10HK.29,7017,L5,36,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10HK.29
Recon 27,SAE07HK.18,5978,L1,61,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07HK.18
Recon 28,SAE10HK.69,7057,L1,84,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10HK.69
Recon 29,SAE10HK.1,6989,L3,70,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10HK.1
Recon 30,SAE10HK.40,7028,L4,40,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10HK.40
Pediatrics 1,SAE11OS.50,7638,L3,51,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE11OS.50
Pediatrics 2,SAE13PE.18,8473,L2,74,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.18
Pediatrics 3,SAE13PE.115,8459,L1,94,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.115
Pediatrics 4,SAE13PE.119,8463,L2,82,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.119
Pediatrics 5,SAE13PE.17,8472,L3,72,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.17
Pediatrics 6,SAE10PE.37,7225,L1,87,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10PE.37
Pediatrics 7,OBQ14.38,5448,L3,64,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=OBQ14.38
Pediatrics 8,SAE07PE.37,6097,L4,64,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07PE.37
Pediatrics 9,SAE10PE.82,7270,L4,40,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10PE.82
Pediatrics 10,SAE10PE.38,6726,NA,90,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10PE.38
Pediatrics 11,SAE08OS.71,6433,L1,88,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE08OS.71
Pediatrics 12,SAE13PE.81,8543,L3,73,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.81
Pediatrics 13,SAE13PE.11,8453,L1,94,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.11
Pediatrics 14,SAE10PE.87,7275,L3,70,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10PE.87
Pediatrics 15,SAE10PE.46,7234,L3,68,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10PE.46
Pediatrics 16,SAE11OS.149,7737,L4,54,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE11OS.149
Pediatrics 17,SAE13PE.93,8556,L5,35,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.93
Pediatrics 18,OBQ15.210,5895,L4,47,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=OBQ15.210
Pediatrics 19,SAE10PE.34,7222,L4,44,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10PE.34
Pediatrics 20,SAE13PE.9,8552,L4,71,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.9
Pediatrics 21,SAE07PE.88,6148,L5,24,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07PE.88
Pediatrics 22,SAE09FA.85,6773,L4,59,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE09FA.85
Pediatrics 23,SAE13PE.13,8468,L3,65,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.13
Pediatrics 24,SAE13PE.37,8494,L2,77,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.37
Pediatrics 25,SAE07PE.85,6145,L5,36,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07PE.85
Pediatrics 26,SAE08AN.75,6235,L3,59,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE08AN.75
Pediatrics 27,SAE13BS.28,8262,L2,73,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13BS.28
Pediatrics 28,SAE13PE.2,8475,L3,79,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.2
Pediatrics 29,SAE07PE.10,6070,L5,35,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE07PE.10
Pediatrics 30,SAE13PE.72,8533,L1,87,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE13PE.72
